    target  danceability  energy  key  loudness  mode  speechiness  acousticness  instrumentalness  liveness  valence    tempo            type                      id                                   uri                                                track_href                                                      analysis_url  duration_ms  time_signature
26       1         0.576   0.738    0    -5.727     0       0.0562      0.001370          0.000233    0.1290   0.3350  127.992  audio_features  0qfrk2Wa53HcBusHfkgrZN  spotify:track:0qfrk2Wa53HcBusHfkgrZN  https://api.spotify.com/v1/tracks/0qfrk2Wa53HcBusHfkgrZN  https://api.spotify.com/v1/audio-analysis/0qfrk2Wa53HcBusHfkgrZN       228680               4
27       1         0.668   0.889    3    -3.711     0       0.0371      0.001160          0.727000    0.2230   0.2830  127.968  audio_features  2YXoXNjQoPGDaNuVh3jh2S  spotify:track:2YXoXNjQoPGDaNuVh3jh2S  https://api.spotify.com/v1/tracks/2YXoXNjQoPGDaNuVh3jh2S  https://api.spotify.com/v1/audio-analysis/2YXoXNjQoPGDaNuVh3jh2S       303750               4
28       1         0.715   0.902    0    -3.664     1       0.1850      0.005430          0.000000    0.0972   0.4410  128.037  audio_features  6lc6S1eIoJhi6YJn6lCnHB  spotify:track:6lc6S1eIoJhi6YJn6lCnHB  https://api.spotify.com/v1/tracks/6lc6S1eIoJhi6YJn6lCnHB  https://api.spotify.com/v1/audio-analysis/6lc6S1eIoJhi6YJn6lCnHB       183760               4
29       1         0.657   0.958   11    -5.924     0       0.0911      0.001870          0.000344    0.3320   0.7030  139.993  audio_features  40jr6hmQNFJFGjllxEFMPX  spotify:track:40jr6hmQNFJFGjllxEFMPX  https://api.spotify.com/v1/tracks/40jr6hmQNFJFGjllxEFMPX  https://api.spotify.com/v1/audio-analysis/40jr6hmQNFJFGjllxEFMPX       317018               4
30       1         0.522   0.990   10    -2.043     1       0.3350      0.005110          0.021100    0.3760   0.6150  140.158  audio_features  4Fh6MgsWqKAFgbHDjwoaS9  spotify:track:4Fh6MgsWqKAFgbHDjwoaS9  https://api.spotify.com/v1/tracks/4Fh6MgsWqKAFgbHDjwoaS9  https://api.spotify.com/v1/audio-analysis/4Fh6MgsWqKAFgbHDjwoaS9       223970               4
31       1         0.755   0.740    7    -4.928     1       0.0468      0.002870          0.355000    0.0762   0.5060  128.009  audio_features  25erct5EXEr421xrRI6eOW  spotify:track:25erct5EXEr421xrRI6eOW  https://api.spotify.com/v1/tracks/25erct5EXEr421xrRI6eOW  https://api.spotify.com/v1/audio-analysis/25erct5EXEr421xrRI6eOW       361707               4
32       1         0.281   0.831    7    -5.827     0       0.0959      0.015200          0.007260    0.0780   0.0865  140.018  audio_features  0B7nhgGrZSet0KDOP3H1zg  spotify:track:0B7nhgGrZSet0KDOP3H1zg  https://api.spotify.com/v1/tracks/0B7nhgGrZSet0KDOP3H1zg  https://api.spotify.com/v1/audio-analysis/0B7nhgGrZSet0KDOP3H1zg       268480               4
33       1         0.639   0.688    5    -4.835     0       0.0446      0.000478          0.282000    0.0904   0.2300  140.001  audio_features  5aIl4H6ng2tECIQb09bTzd  spotify:track:5aIl4H6ng2tECIQb09bTzd  https://api.spotify.com/v1/tracks/5aIl4H6ng2tECIQb09bTzd  https://api.spotify.com/v1/audio-analysis/5aIl4H6ng2tECIQb09bTzd       308571               4
34       1         0.814   0.569   11    -5.277     0       0.1160      0.000245          0.422000    0.0753   0.6120  130.001  audio_features  0JziX0FifSunJg3hHA05rj  spotify:track:0JziX0FifSunJg3hHA05rj  https://api.spotify.com/v1/tracks/0JziX0FifSunJg3hHA05rj  https://api.spotify.com/v1/audio-analysis/0JziX0FifSunJg3hHA05rj       281538               4
35       0         0.618   0.421   10   -10.419     1       0.0249      0.080300          0.000029    0.1410   0.2700  144.060  audio_features  78qcsnOMI7iPEtPYSq4hQL  spotify:track:78qcsnOMI7iPEtPYSq4hQL  https://api.spotify.com/v1/tracks/78qcsnOMI7iPEtPYSq4hQL  https://api.spotify.com/v1/audio-analysis/78qcsnOMI7iPEtPYSq4hQL       206250               4
